Product ID,Product Name,Category,Price,Discount,Tax Rate,Stock Level,Supplier ID,Customer Age Group,Customer Location,Customer Gender,Shipping Cost,Shipping Method,Return Rate,Seasonality,Popularity Index
P6879,Jacket,Apparel,53.85,5,15,150,S535,35-44,"New York, USA",Male,23.32,Standard,4.49,Yes,56
P5132,Camera,Electronics,761.26,10,15,224,S583,25-34,"London, UK",Female,20.88,Overnight,16.11,No,79
P2941,Sneakers,Footwear,1756.76,5,8,468,S118,25-34,"Tokyo, Japan",Non-Binary,16.43,Standard,4.93,No,40
P8545,Cookbooks,Books,295.24,10,15,25,S104,18-24,"Paris, France",Female,27.49,Standard,1.31,No,93
P4594,Camera,Electronics,832,10,12,340,S331,55+,"Tokyo, Japan",Male,45.93,Overnight,4.37,No,56
P1388,Non-Fiction,Books,584.19,15,8,204,S523,45-54,Singapore,Female,40.12,Express,19.03,No,91
P7313,Running Shoes,Footwear,1343.95,0,10,493,S878,18-24,"Sydney, Australia",Female,35.91,Overnight,17.73,Yes,41
P1060,Blender,Home Appliances,1873.52,0,15,349,S396,18-24,"Phoenix, USA",Male,46.42,Standard,4.79,No,60
P1241,Fiction,Books,1586.65,25,5,237,S183,35-44,"Cape Town, South Africa",Male,33.1,Express,2.55,Yes,90
P9687,Heels,Footwear,1975.69,20,8,132,S672,18-24,"New York, USA",Female,5.25,Overnight,16.5,Yes,96
P6094,Comics,Books,1657.73,15,10,300,S501,45-54,"London, UK",Female,28.99,Express,10.51,No,36
P3700,Fiction,Books,395.42,5,12,335,S975,55+,"Houston, USA",Female,3.35,Overnight,17.12,No,66
P8707,Smartwatch,Electronics,1915.09,20,8,332,S640,35-44,Singapore,Non-Binary,15.14,Standard,3.5,No,57
P3045,Fiction,Books,1345.42,15,15,150,S204,55+,"Cape Town, South Africa",Non-Binary,14.25,Standard,19.77,Yes,35
P2019,Hiking Shoes,Footwear,302.74,25,12,456,S194,45-54,"Toronto, Canada",Female,44.1,Standard,7.05,No,3
P5172,Washing Machine,Home Appliances,204.73,5,15,112,S597,25-34,"London, UK",Female,10.03,Overnight,17.74,No,27
P2766,Boots,Footwear,1961.39,25,15,420,S732,35-44,"Chicago, USA",Non-Binary,1.68,Overnight,11.08,No,92
P2339,Textbooks,Books,812.75,20,15,180,S702,35-44,"Berlin, Germany",Non-Binary,2.4,Express,10.33,Yes,72
P7834,Boots,Footwear,713.69,15,10,485,S328,45-54,Singapore,Male,36.33,Overnight,1.95,Yes,64
P9427,Monitor,Electronics,1473.42,0,12,440,S689,35-44,"Houston, USA",Female,20.31,Express,16.78,Yes,98
P9470,Comics,Books,136.09,5,15,137,S915,45-54,"Dubai, UAE",Non-Binary,9.29,Standard,10.19,Yes,97
P3629,Skirt,Apparel,100.9,5,5,460,S137,55+,"Chicago, USA",Male,21.4,Overnight,13.52,Yes,42
P9660,Cookbooks,Books,1268.89,10,10,139,S637,55+,Singapore,Non-Binary,25.57,Standard,6.63,Yes,49
P6295,Sneakers,Footwear,72.99,0,15,31,S441,35-44,"Mumbai, India",Male,31.41,Express,8.27,Yes,75
P8171,Socks,Apparel,1767.45,5,15,253,S514,45-54,"Dubai, UAE",Non-Binary,32.96,Standard,10.98,Yes,52
P1543,Smartphone,Electronics,1611.15,0,8,416,S318,55+,"Houston, USA",Female,44.88,Express,7.81,Yes,77
P5806,Sandals,Footwear,354.7,25,15,302,S503,35-44,"Mumbai, India",Male,47.31,Express,9.26,Yes,74
P4049,Cookbooks,Books,1734.45,10,10,70,S312,55+,"Dubai, UAE",Male,26.67,Overnight,13.28,No,81
P7405,Dishwasher,Home Appliances,1859.66,5,5,444,S312,55+,"Dubai, UAE",Female,20.57,Standard,11.18,No,1
P3395,Socks,Apparel,1701.63,0,8,386,S250,55+,"Cape Town, South Africa",Female,16.66,Express,6.83,No,12
P1368,Dishwasher,Home Appliances,1560.44,0,12,341,S666,55+,"Phoenix, USA",Male,42.28,Standard,5.1,Yes,74
P9511,Sweater,Apparel,693.15,10,8,354,S833,25-34,"New York, USA",Non-Binary,14.21,Express,16.65,No,99
P8286,Gaming Console,Electronics,181.56,25,15,252,S330,35-44,"Mumbai, India",Non-Binary,26.19,Overnight,16.04,Yes,76
P6975,Sneakers,Footwear,1422.24,5,5,151,S739,45-54,"Los Angeles, USA",Female,19.44,Express,11.99,Yes,91
P4874,Microwave,Home Appliances,1974.16,25,8,205,S677,25-34,Singapore,Female,11.49,Overnight,19.54,No,31
P9462,Vacuum Cleaner,Home Appliances,176.23,10,10,158,S677,25-34,"Tokyo, Japan",Female,43.93,Standard,15.27,Yes,62
P8121,Jeans,Apparel,969.02,25,12,334,S233,18-24,"Mumbai, India",Female,22.94,Express,12.72,No,37
P8414,Shirt,Apparel,784.57,5,5,202,S768,25-34,"Paris, France",Non-Binary,10.08,Standard,19.32,Yes,31
P5247,Textbooks,Books,1297.4,5,10,156,S805,35-44,"Sydney, Australia",Non-Binary,47.19,Standard,4.11,Yes,52
P2236,Speaker,Electronics,716.38,25,10,245,S986,25-34,Singapore,Non-Binary,11.81,Standard,14.31,Yes,20
P8041,Sandals,Footwear,1165.22,5,5,66,S112,18-24,"Toronto, Canada",Female,5.6,Express,2.88,No,21
